Ticker,Current Price,Regular Market Change,52 Week High,52 Week Low,52 Week Change Percent,50 Day Average,200 Day Average,Volume,Market Volume,Beta,Market Cap,Forward PE,Trailing PE,Price to Book,Price To Sales 12 Months,Enterprise Value,Enterprise To EBITA,Enterprise To Revenue,Gross Margins,Profit Margins,Operating Margins,EBITA Margins,Return on Assets,Return on Equity,Net Income to Common,EBITA,Earnings Growth,Total Debt,Debt to Equity,Total Cash,Free Cashflow,Operating Cashflow,Current Ratio,Quick Ratio,Revenue Growth,Total Cash Per Share,Recommendation Mean,Target Mean Price
AACB,10.27,0.097468115,10.27,9.85,3.8461566,10.1806,10.104358,451,451,,284222272.0,,,-22.822224,,283803584.0,,,0.0,0.0,0.0,0.0,,,-204658.0,,,0.0,,141921.0,,0.0,,,,0.005,,
AACBR,0.31,0.0,0.31,0.31,,,,32,32,,,,,-0.6888889,,,,,0.0,0.0,0.0,0.0,,,-204658.0,,,0.0,,141921.0,,0.0,,,,0.005,,
AACBU,10.49,0.0,12.15,10.0,4.9000025,10.4538,10.284594,26,26,,264085744.0,,,-23.311111,,290168832.0,,,0.0,0.0,0.0,0.0,,,-204658.0,,,0.0,,141921.0,,0.0,,,,0.005,,
AACG,1.4,6.2537923,2.58,0.7,28.155338,1.6106,1.1843,23601,23601,0.973,44456316.0,-1.4141414,,0.79365075,0.15885669,94271592.0,-16.225,0.337,0.54007,-0.09115,-0.24598,-0.02076,-0.04285,-0.37508,-25508590.0,-5810128.0,,45547772.0,81.605,34673596.0,,,0.188,0.093,0.08,0.547,,
AADR,,1.0360596,87.64,61.52,30.742264,84.6936,78.83665,2366,2366,,,,14.811728,,,,,,,,,,,,,,,,,,,,,,,,,
AAL,12.99,-2.4042122,19.1,8.5,-4.313445,12.4394,12.2462,40673475,40673475,1.269,8574522880.0,6.430693,14.931034,-2.1642785,0.15792763,37462753280.0,8.121,0.69,0.23728001,0.011089999,0.0127799995,0.084960006,0.02355,,602000000.0,4613000192.0,,36064002048.0,,7386999808.0,422500000.0,3771000064.0,0.538,0.382,0.003,11.191,2.18182,15.0175
AALG,,-4.42509,16.52,10.16,4.6135426,12.7454,12.958337,4465,4465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAME,2.92,0.68965447,3.71,1.25,71.59763,3.0616,2.1827,20556,20556,0.769,59559908.0,,29.2,0.56132257,0.29933062,55525960.0,8.054,0.279,0.11553001,0.01273,0.090229996,0.034649998,0.0101,0.02448,2133000.0,6894000.0,,42742000.0,40.259,46423000.0,20013750.0,18259000.0,1.566,1.271,0.16,2.276,,
AAOI,23.75,-6.5696306,44.5,9.711,-10.932022,29.4596,22.911224,6032269,6032269,3.219,1621647360.0,32.534245,,2.891405,3.8453906,1833839360.0,-74.166,4.349,0.29332,-0.36968,-0.15331,-0.05863,-0.04463,-0.40431,-155896992.0,-24726000.0,,235163008.0,42.062,136960992.0,-328829504.0,-169467008.0,2.309,1.449,0.821,2.006,2.33333,28.6
AAON,103.9,-1.7865578,142.2,62.0,-23.190302,94.4836,89.41285,888841,888841,1.051,8481778688.0,35.46075,85.86777,9.822272,6.447193,8673208320.0,41.384,6.593,0.26876,0.0762,0.0399,0.1593,0.06491,0.120790005,100251000.0,209576992.0,-0.686,40000000.0,8.581,2859000.0,-289803360.0,-17939000.0,3.035,1.998,0.168,0.035,1.5,115.25
AAPB,,4.170127,36.475,14.5,20.98397,29.61968,24.765936,133117,133117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPD,,-2.1132057,21.96,12.86,-22.695452,14.17408,16.40968,1709249,1709249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPG,32.04,-1.111113,48.45,16.5,86.421165,37.03558,30.540855,5363,5363,1.106,3008401408.0,52.255604,,16.532509,7.701941,11201302528.0,-10.728,28.677,0.90866,-2.96772,-2.3705,-2.6732101,-0.22768,-1.59649,-1159202048.0,-1044163008.0,,1716164992.0,253.905,1661453952.0,36215124.0,-189086000.0,1.54,1.404,-0.716,4.834,1.66667,41.33333
