Ticker,Date,Gross_Profitability,ROIC,FCF_Yield,y_target,Sector_Basic Materials,Sector_Business Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Other,Sector_Real Estate,Sector_Technology,Sector_Utilities
AY,2020-03-27,0.09433905814385865,0.04157989902948017,0.23116856057174576,0.0,0,0,0,0,1,0,0,0,0,0,0,0
CBRL,2021-02-23,0.05227776882170636,-0.03641854730338168,0.05142935685926998,0.0,0,0,1,0,0,0,0,0,0,0,0,0
PANW,2021-02-23,0.2791408456935986,-0.04952290076335878,0.033753977654601884,9.0,0,0,0,0,0,0,0,0,0,0,1,0
SJM,2021-02-25,0.19424933345100856,0.11519508280772207,0.09977616667970804,9.0,0,0,0,1,0,0,0,0,0,0,0,0
DE,2021-02-25,0.16714361420243773,0.10029807996536277,0.08476051648373455,2.0,0,0,0,0,0,0,0,1,0,0,0,0
HEI,2021-02-25,0.18019881175145502,0.11639807702919314,0.023337802679051535,4.0,0,0,0,0,0,0,0,1,0,0,0,0
AMWD,2021-02-25,0.19336483051154346,0.09453671335393171,0.08989096699713328,0.0,0,0,1,0,0,0,0,0,0,0,0,0
SAFM,2021-02-25,0.13909005269510435,0.03507808165850787,0.03859218530484096,7.0,0,0,0,1,0,0,0,0,0,0,0,0
HRL,2021-03-02,0.18153489916730695,0.13306296633979292,0.03155069154221186,9.0,0,0,0,1,0,0,0,0,0,0,0,0
A,2021-03-02,0.30514781889600995,0.1313158975763385,0.028889480951444526,6.0,0,0,0,0,0,0,1,0,0,0,0,0
WDAY,2021-03-02,0.35784777753652586,-0.04900580502313493,0.01682907390322386,3.0,0,0,0,0,0,0,0,0,0,0,1,0
DCI,2021-03-02,0.3809167363832504,0.20748790753188015,0.045262277159300014,0.0,0,0,0,0,0,0,0,1,0,0,0,0
PDCO,2021-03-03,0.41836956960187166,0.13625122813774054,-0.24548739799640681,9.0,0,0,0,0,0,0,1,0,0,0,0,0
ESTC,2021-03-03,0.4499899997777728,-0.2787100427805374,0.001257283690046447,0.0,0,0,0,0,0,0,0,0,0,0,1,0
GMS,2021-03-04,0.45317771573245624,0.09133505472992837,0.13878957083533905,9.0,1,0,0,0,0,0,0,0,0,0,0,0
OKTA,2021-03-04,0.18703788077896275,-0.08292298649574775,0.003903754349999299,0.0,0,0,0,0,0,0,0,0,0,0,1,0
HPE,2021-03-04,0.15855643486557783,0.05270900497668159,0.07166337935568705,5.0,0,0,0,0,0,0,0,0,0,0,1,0
NDSN,2021-03-04,0.31417540474143324,0.16368724600296888,0.04368807822384045,7.0,0,0,0,0,0,0,0,1,0,0,0,0
TTC,2021-03-04,0.4231873391816323,0.25341587500730967,0.055624174727322374,1.0,0,0,0,0,0,0,0,1,0,0,0,0
SWBI,2021-03-04,0.7773838181992899,0.855861747522302,0.3280170690721068,3.0,0,0,0,0,0,0,0,1,0,0,0,0
HPQ,2021-03-05,0.31346978725854274,1.4384772263766146,0.09267893927999216,9.0,0,0,0,0,0,0,0,0,0,0,1,0
MDT,2021-03-05,0.18331448545286316,0.04447945256058387,0.029084580446982332,1.0,0,0,0,0,0,0,1,0,0,0,0,0
HURC,2021-03-05,0.1277913755214296,-0.0097716260616469,0.09821721217490718,4.0,0,0,0,0,0,0,0,0,0,0,1,0
COO,2021-03-05,0.1747385646555106,0.04280863604330835,0.010876947461562873,8.0,0,0,0,0,0,0,1,0,0,0,0,0
NX,2021-03-05,0.2987349320366255,0.13379761958157152,0.09646041145556741,3.0,1,0,0,0,0,0,0,0,0,0,0,0
GWRE,2021-03-05,0.173509278251648,-0.020152050000378483,0.010977836645943949,0.0,0,0,0,0,0,0,0,0,0,0,1,0
DY,2021-03-05,0.2865883296942389,0.08712727450035566,0.12255943940248723,6.0,0,0,0,0,0,0,0,1,0,0,0,0
CASY,2021-03-08,0.3456862619789415,0.14783615183831023,0.058153313638363936,0.0,0,0,0,1,0,0,0,0,0,0,0,0
TOL,2021-03-08,0.13637011732242463,0.08306434356389383,0.20519712712983176,4.0,0,0,1,0,0,0,0,0,0,0,0,0
CDMO,2021-03-08,0.11811889783443733,0.04042413023076645,0.009560002924692227,9.0,0,0,0,0,0,0,1,0,0,0,0,0
THO,2021-03-09,0.21143092459022983,0.12762049973286071,0.04824491005293647,0.0,0,0,1,0,0,0,0,0,0,0,0,0
CHS,2021-03-09,0.1444632349134584,-1.0906662761564885,-0.29427995361463166,9.0,0,0,1,0,0,0,0,0,0,0,0,0
PLAB,2021-03-10,0.10598573773073108,0.05498550625346605,0.08502435916130179,9.0,0,0,0,0,0,0,0,0,0,0,1,0
CPB,2021-03-10,0.24923987838054087,0.14755197853789404,0.07444353457902181,4.0,0,0,0,1,0,0,0,0,0,0,0,0
TGT,2021-03-10,0.5343428036216048,0.2411135693215339,0.08855336877123288,8.0,0,0,0,1,0,0,0,0,0,0,0,0
CIEN,2021-03-10,0.39175718915464125,0.15646304086621204,0.046873000587192515,7.0,0,0,0,0,0,0,0,0,0,0,1,0
AVAV,2021-03-10,0.26746724151934376,0.08920404129647472,0.02054519217680752,1.0,0,0,0,0,0,0,0,1,0,0,0,0
LMNR,2021-03-10,0.024251426704644065,-0.04648405075299419,-0.015404804634497882,2.0,1,0,0,0,0,0,0,0,0,0,0,0
PSSR,2021-03-10,1.060342113793737,0.06443663767763204,-0.4925607643244873,0.0,0,0,0,0,0,0,0,1,0,0,0,0
UNFI,2021-03-10,0.5379691167321305,0.09370901172625191,0.30959085513203366,5.0,0,0,0,1,0,0,0,0,0,0,0,0
