Ticker,Date,Gross_Profitability,ROIC,FCF_Yield,y_target,Sector_Basic Materials,Sector_Business Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Other,Sector_Real Estate,Sector_Technology,Sector_Utilities
AY,2020-03-27,0.0943390581438586,0.0415798990294801,0.2311685605717457,0.0,0,0,0,0,1,0,0,0,0,0,0,0
CBRL,2021-02-23,0.0522777688217063,-0.0364185473033816,0.0514293568592699,0.0,0,0,1,0,0,0,0,0,0,0,0,0
PANW,2021-02-23,0.2791408456935986,-0.0495229007633587,0.0337539776546018,9.0,0,0,0,0,0,0,0,0,0,0,1,0
SJM,2021-02-25,0.1942493334510085,0.115195082807722,0.099776166679708,9.0,0,0,0,1,0,0,0,0,0,0,0,0
DE,2021-02-25,0.1671436142024377,0.1002980799653627,0.0847605164837345,2.0,0,0,0,0,0,0,0,1,0,0,0,0
HEI,2021-02-25,0.180198811751455,0.1163980770291931,0.0233378026790515,4.0,0,0,0,0,0,0,0,1,0,0,0,0
AMWD,2021-02-25,0.1933648305115434,0.0945367133539317,0.0898909669971332,0.0,0,0,1,0,0,0,0,0,0,0,0,0
SAFM,2021-02-25,0.1390900526951043,0.0350780816585078,0.0385921853048409,7.0,0,0,0,1,0,0,0,0,0,0,0,0
HRL,2021-03-02,0.1815348991673069,0.1330629663397929,0.0315506915422118,9.0,0,0,0,1,0,0,0,0,0,0,0,0
A,2021-03-02,0.3051478188960099,0.1313158975763385,0.0288894809514445,6.0,0,0,0,0,0,0,1,0,0,0,0,0
WDAY,2021-03-02,0.3578477775365258,-0.0490058050231349,0.0168290739032238,3.0,0,0,0,0,0,0,0,0,0,0,1,0
DCI,2021-03-02,0.3809167363832504,0.2074879075318801,0.0452622771593,0.0,0,0,0,0,0,0,0,1,0,0,0,0
PDCO,2021-03-03,0.4183695696018716,0.1362512281377405,-0.2454873979964068,9.0,0,0,0,0,0,0,1,0,0,0,0,0
ESTC,2021-03-03,0.4499899997777728,-0.2787100427805374,0.0012572836900464,0.0,0,0,0,0,0,0,0,0,0,0,1,0
GMS,2021-03-04,0.4531777157324562,0.0913350547299283,0.138789570835339,9.0,1,0,0,0,0,0,0,0,0,0,0,0
OKTA,2021-03-04,0.1870378807789627,-0.0829229864957477,0.0039037543499992,0.0,0,0,0,0,0,0,0,0,0,0,1,0
HPE,2021-03-04,0.1585564348655778,0.0527090049766815,0.071663379355687,5.0,0,0,0,0,0,0,0,0,0,0,1,0
NDSN,2021-03-04,0.3141754047414332,0.1636872460029688,0.0436880782238404,7.0,0,0,0,0,0,0,0,1,0,0,0,0
TTC,2021-03-04,0.4231873391816323,0.2534158750073096,0.0556241747273223,1.0,0,0,0,0,0,0,0,1,0,0,0,0
SWBI,2021-03-04,0.7773838181992899,0.855861747522302,0.3280170690721068,3.0,0,0,0,0,0,0,0,1,0,0,0,0
HPQ,2021-03-05,0.3134697872585427,1.001609775984045,0.0926789392799921,9.0,0,0,0,0,0,0,0,0,0,0,1,0
MDT,2021-03-05,0.1833144854528631,0.0444794525605838,0.0290845804469823,1.0,0,0,0,0,0,0,1,0,0,0,0,0
HURC,2021-03-05,0.1277913755214296,-0.0097716260616469,0.0982172121749071,4.0,0,0,0,0,0,0,0,0,0,0,1,0
COO,2021-03-05,0.1747385646555106,0.0428086360433083,0.0108769474615628,8.0,0,0,0,0,0,0,1,0,0,0,0,0
NX,2021-03-05,0.2987349320366255,0.1337976195815715,0.0964604114555674,3.0,1,0,0,0,0,0,0,0,0,0,0,0
GWRE,2021-03-05,0.173509278251648,-0.0201520500003784,0.0109778366459439,0.0,0,0,0,0,0,0,0,0,0,0,1,0
DY,2021-03-05,0.2865883296942389,0.0871272745003556,0.1225594394024872,6.0,0,0,0,0,0,0,0,1,0,0,0,0
CASY,2021-03-08,0.3456862619789415,0.1478361518383102,0.0581533136383639,0.0,0,0,0,1,0,0,0,0,0,0,0,0
TOL,2021-03-08,0.1363701173224246,0.0830643435638938,0.2051971271298317,4.0,0,0,1,0,0,0,0,0,0,0,0,0
CDMO,2021-03-08,0.1181188978344373,0.0404241302307664,0.0095600029246922,9.0,0,0,0,0,0,0,1,0,0,0,0,0
THO,2021-03-09,0.2114309245902298,0.1276204997328607,0.0482449100529364,0.0,0,0,1,0,0,0,0,0,0,0,0,0
CHS,2021-03-09,0.1444632349134584,-1.0906662761564885,-0.2942799536146316,9.0,0,0,1,0,0,0,0,0,0,0,0,0
