Ticker,Date,YearMonth,Gross_Profitability,ROIC,FCF_Yield,Revenue_Growth_YoY,Momentum_6M,Accrual_Ratio,Interest_Coverage,Shares_Outstanding_YoY_Growth,Forward_1yr_Return,y_target,Sector_Basic Materials,Sector_Business Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Other,Sector_Real Estate,Sector_Technology,Sector_Utilities
ADI,2021-05-19,2021-05,0.193516213034175,0.11001787452029,0.0389916256834759,0.2614512626607748,0.1094848199405842,-0.0297108834879693,10.670819282777472,0.0016457686635868,0.0510710553814002,7.0,0,0,0,0,0,0,0,0,0,0,1,0
SNPS,2021-05-21,2021-05,0.3770790203086132,0.1434206913501546,0.0320285069177165,0.1892382335628628,0.1091250744763738,-0.0450823274355437,,0.014130427564958,0.2685123966942149,8.0,0,0,0,0,0,0,0,0,0,0,1,0
PANW,2021-05-21,2021-05,0.2908147792107188,-0.0624432876450642,0.0395901484335882,0.2352196917414308,0.2891591976099017,-0.1912759749627462,-1.705805609915199,0.0020682523267838,0.3802350604204603,9.0,0,0,0,0,0,0,0,0,0,0,1,0
CPRT,2021-05-24,2021-05,0.2886629116761398,0.285340868272914,0.0181495028342061,0.3335089759430192,0.1254392129304287,0.0692112885122792,51.95411882176735,0.0096654465624239,-0.1557914455198252,5.0,0,0,1,0,0,0,0,0,0,0,0,0
HD,2021-05-25,2021-05,0.6610442763239489,0.5526070887287617,0.0501445513748777,0.3269639065817409,0.1739742781957673,-0.0309369272534347,15.071065989847716,-0.0018639328984156,-0.0731807419100236,6.0,0,0,1,0,0,0,0,0,0,0,0,0
CBRL,2021-05-25,2021-05,0.0425313024513758,0.0494939769277672,0.1023573640141008,0.6493489679662647,0.1333908293804802,-0.0528183935671248,1.473763629283489,-0.0026218866279114,-0.3691819911223842,3.0,0,0,1,0,0,0,0,0,0,0,0,0
CSCO,2021-05-25,2021-05,0.3326446280991735,0.2417032297968571,0.062388043761798,0.0684302762246515,0.3011959970710276,-0.0406194087075061,56.84090909090909,-0.0026004728132387,-0.1746389045207278,5.0,0,0,0,0,0,0,0,0,0,0,1,0
DY,2021-05-26,2021-05,0.2344414558087721,0.0589135577062238,0.126145327630312,-0.1066224417368068,-0.0644254122459415,-0.0952542557126172,4.354293880732753,-0.0293600094521182,0.2627408115862824,8.0,0,0,0,0,0,0,0,1,0,0,0,0
NVDA,2021-05-26,2021-05,0.3903104299259644,0.2141663752574115,0.0141440249443572,0.8379870129870131,0.1948249619482496,-0.0061371606702169,30.622222222222224,0.011400651465798,0.1369426751592357,8.0,0,0,0,0,0,0,0,0,0,0,1,0
WDAY,2021-05-26,2021-05,0.3767493463305398,-0.0270290731165315,0.0175820639361758,0.1538200189515752,0.1447126991791405,-0.1375848836857391,,0.0463640695632763,-0.290715822330957,4.0,0,0,0,0,0,0,0,0,0,0,1,0
DKS,2021-05-26,2021-05,0.4859565020120051,0.464026558898709,0.2373600019186032,1.1892121977636232,0.6731848325114778,-0.117027414344121,25.91894437467681,0.0121336613561993,-0.1404471544715447,5.0,0,0,1,0,0,0,0,0,0,0,0,0
DG,2021-05-27,2021-05,0.4310721632441772,0.3464943136908291,0.0356044302385319,-0.0056205582823545,-0.0403324255798667,0.0375007063126879,22.440362107259613,-0.0525538168242115,0.1173736484172416,8.0,0,0,0,1,0,0,0,0,0,0,0,0
LOW,2021-05-27,2021-05,0.6091796875,0.4601713875638482,0.0668167167720165,0.2412706480304955,0.2504517294785751,-0.04837890625,12.749707602339182,-0.0490066225165563,0.0302420395314031,7.0,0,0,1,0,0,0,0,0,0,0,0,0
OKTA,2021-05-27,2021-05,0.1945839711267948,-0.099618586551766,0.0048401048993839,0.3726751212682997,-0.0310212617636806,-0.1313257426801813,-2.8528636641724314,0.030106725832834,-0.6130395683453238,1.0,0,0,0,0,0,0,0,0,0,0,1,0
BURL,2021-05-27,2021-05,0.4455287755969187,0.1573469673837189,0.0200333682565939,1.736410558399447,0.4368223058198717,-0.0203623747064973,4.023121950269301,0.012581589702922,-0.4713383643924226,2.0,0,0,0,1,0,0,0,0,0,0,0,0
ULTA,2021-05-27,2021-05,0.47161105633681,0.1994871526570098,0.0551133417951518,0.6523205564221239,0.1533138983527098,-0.1051886725697114,153.99075316324414,-0.0012052677289565,0.2945547569740527,8.0,0,0,1,0,0,0,0,0,0,0,0,0
DLTR,2021-05-27,2021-05,0.3781536956195354,0.1919241289206794,0.0615575011569606,0.0306833365146019,-0.1009429726088908,0.0015058881653106,14.574589578872231,-0.015618404390038,0.648186994306263,9.0,0,0,0,1,0,0,0,0,0,0,0,0
HEI,2021-05-27,2021-05,0.1789615951187816,0.1127267347998513,0.0201377568119958,-0.0031934481977844,0.0787808641975309,-0.034212587561972,34.673507462686565,0.0046335830814812,0.0316858593805879,7.0,0,0,0,0,0,0,0,1,0,0,0,0
MOV,2021-05-27,2021-05,0.4502739288274464,0.4735637647697949,0.1091470116205813,0.9349180374931818,0.6164680390032502,-0.0404027027260452,106.57717778909831,0.0077351886262477,0.2231903485254691,8.0,0,0,1,0,0,0,0,0,0,0,0,0
SAFM,2021-05-27,2021-05,0.221696728627653,0.1425978572660657,0.0683096536333258,0.3423289148596384,0.1777665048191898,-0.0386018143007474,72.25865976044027,0.0034635191177141,0.2306177701206004,8.0,0,0,0,1,0,0,0,0,0,0,0,0
DXLG,2021-05-27,2021-05,0.4918583979149766,-0.1984798147588845,0.1032415843732142,0.9482761633494678,1.198963746624772,-0.117393030360564,-2.7394627142195462,0.2244966310729343,0.4322580645161291,9.0,0,0,1,0,0,0,0,0,0,0,0,0
TGT,2021-05-28,2021-05,0.5896455390224089,0.3055244021562172,0.0706331934283371,0.2335967371909253,0.2619285952619286,-0.0358423649224307,8.724173553719009,-0.0049900199600798,-0.286620835536753,4.0,0,0,0,1,0,0,0,0,0,0,0,0
GPS,2021-05-28,2021-05,0.4459717730079388,0.1238057324840764,0.0892885538911681,0.8941623160892265,0.5486111111111112,-0.0507203763598941,2.827272727272727,0.010752688172043,-0.670254110612855,1.0,0,0,1,0,0,0,0,0,0,0,0,0
NDSN,2021-05-28,2021-05,0.3352893396496713,0.1817995317741896,0.0380109059275079,0.1134324750036828,0.0946032686515578,-0.0506649679686,19.289372599231758,0.0067791320630408,-0.0171861608552483,7.0,0,0,0,0,0,0,0,1,0,0,0,0
TJX,2021-05-28,2021-05,0.3445250478904728,0.2324832548637023,0.0823798267909394,1.2878015953229025,0.0754777070063694,-0.1714628093178692,13.183604580477123,0.0063707986832626,-0.058779982232751,6.0,0,0,1,0,0,0,0,0,0,0,0,0
A,2021-06-01,2021-06,0.2992883246778227,0.147894600878326,0.0298690904933401,0.2318255250403877,0.2025593829432903,-0.0316407001346412,15.472972972972974,-0.0097087378640776,-0.1028425655976675,7.0,0,0,0,0,0,0,1,0,0,0,0,0
HRL,2021-06-01,2021-06,0.1826945362748361,0.133894187593617,0.024086063130875,0.0760200869775209,0.0241525423728814,0.0261602685164249,43.10127422902918,0.0038578827359747,-0.0012412081092263,8.0,0,0,0,1,0,0,0,0,0,0,0,0
ZM,2021-06-02,2021-06,0.3899327022960083,0.2057786651332198,0.0165245157033054,1.913873119478802,-0.3161844635839117,-0.1214695621768868,,0.049675271752378,-0.656873834489927,0.0,0,0,0,0,0,0,0,0,0,0,1,0
CRM,2021-06-02,2021-06,0.256006781228327,0.0209774751873383,0.0263430941099995,0.225693730729702,-0.0454841334418226,-0.0180319025969022,,0.0133928571428572,-0.1969994032904271,6.0,0,0,0,0,0,0,0,0,0,0,1,0
LE,2021-06-02,2021-06,0.6264362192771382,0.1099798639578996,0.1038733951616762,0.4805767529307676,0.2818765036086605,-0.070970487623459,2.467130114592261,0.0099543885601578,-0.6068188927119174,1.0,0,0,1,0,0,0,0,0,0,0,0,0
SMTC,2021-06-02,2021-06,0.3552421100262991,0.0990644475284752,0.0235742746823421,0.2838691202845473,-0.0821105676597006,-0.0198753385557634,35.70544858664482,-0.0076232295049474,0.0390763765541739,8.0,0,0,0,0,0,0,0,0,0,0,1,0
HPE,2021-06-03,2021-06,0.163452301780832,0.0590048708305074,0.099840965545738,0.1149941754035612,0.4196428571428572,-0.026416906820365,,0.0139426800929511,-0.0515723270440251,7.0,0,0,0,0,0,0,0,0,0,0,1,0
