Ticker,Date,YearMonth,Gross_Profitability,ROIC,FCF_Yield,Revenue_Growth_YoY,Momentum_6M,Accrual_Ratio,Interest_Coverage,Shares_Outstanding_YoY_Growth,Forward_1yr_Return,y_target,Sector_Basic Materials,Sector_Business Services,Sector_Consumer Cyclical,Sector_Consumer Defensive,Sector_Energy,Sector_Financial Services,Sector_Healthcare,Sector_Industrials,Sector_Other,Sector_Real Estate,Sector_Technology,Sector_Utilities
ADI,2021-05-19,2021-05,0.19351621303417507,0.11001787452029003,0.03899162568347591,0.2614512626607748,0.10948481994058423,-0.029710883487969388,10.670819282777472,0.0016457686635868995,0.05107105538140022,7.0,0,0,0,0,0,0,0,0,0,0,1,0
SNPS,2021-05-21,2021-05,0.37707902030861323,0.14342069135015467,0.03202850691771658,0.18923823356286285,0.10912507447637387,-0.045082327435543704,,0.014130427564958081,0.2685123966942149,8.0,0,0,0,0,0,0,0,0,0,0,1,0
PANW,2021-05-21,2021-05,0.29081477921071885,-0.06244328764506423,0.03959014843358823,0.23521969174143087,0.2891591976099017,-0.19127597496274626,-1.705805609915199,0.0020682523267838704,0.3802350604204603,9.0,0,0,0,0,0,0,0,0,0,0,1,0
CPRT,2021-05-24,2021-05,0.2886629116761398,0.285340868272914,0.01814950283420618,0.3335089759430192,0.1254392129304287,0.06921128851227923,51.95411882176735,0.009665446562423963,-0.15579144551982527,5.0,0,0,1,0,0,0,0,0,0,0,0,0
HD,2021-05-25,2021-05,0.6610442763239489,0.5526070887287617,0.050144551374877756,0.3269639065817409,0.17397427819576738,-0.030936927253434755,15.071065989847716,-0.0018639328984156878,-0.07318074191002366,6.0,0,0,1,0,0,0,0,0,0,0,0,0
CBRL,2021-05-25,2021-05,0.042531302451375826,0.04949397692776727,0.10235736401410088,0.6493489679662647,0.1333908293804802,-0.052818393567124894,1.473763629283489,-0.0026218866279114073,-0.36918199112238426,3.0,0,0,1,0,0,0,0,0,0,0,0,0
CSCO,2021-05-25,2021-05,0.33264462809917356,0.24170322979685718,0.06238804376179807,0.06843027622465159,0.3011959970710276,-0.040619408707506174,56.84090909090909,-0.002600472813238719,-0.17463890452072783,5.0,0,0,0,0,0,0,0,0,0,0,1,0
DY,2021-05-26,2021-05,0.2344414558087721,0.05891355770622382,0.12614532763031205,-0.1066224417368068,-0.06442541224594156,-0.09525425571261727,4.354293880732753,-0.029360009452118252,0.2627408115862824,8.0,0,0,0,0,0,0,0,1,0,0,0,0
NVDA,2021-05-26,2021-05,0.39031042992596443,0.2141663752574115,0.014144024944357262,0.8379870129870131,0.1948249619482496,-0.0061371606702169115,30.622222222222224,0.01140065146579805,0.13694267515923575,8.0,0,0,0,0,0,0,0,0,0,0,1,0
WDAY,2021-05-26,2021-05,0.37674934633053986,-0.027029073116531535,0.01758206393617587,0.15382001895157527,0.14471269917914054,-0.13758488368573912,,0.04636406956327632,-0.29071582233095705,4.0,0,0,0,0,0,0,0,0,0,0,1,0
